@relation weather

@attribute MaxTemp numeric
@attribute MeanTemp numeric
@attribute MinTemp numeric
@attribute MaxHumidity numeric
@attribute MeanHumidity numeric
@attribute MinHumidity numeric
@attribute WindSpeed numeric
@attribute CloudCover numeric
@attribute play {yes,no}
@data
26,23,20,100,94,69,21,6,no
28,24,21,100,81,51,24,5,no
29,24,20,94,76,48,19,4,yes
28,24,22,88,76,61,14,5,no
30,26,22,88,69,43,14,3,yes
29,26,22,94,69,45,11,4,yes
30,24,19,88,65,40,11,3,no
31,26,20,94,72,48,14,3,no
30,26,21,88,73,45,24,3,yes
30,26,21,94,81,51,34,4,yes
29,26,22,88,73,51,24,3,yes
28,24,20,94,72,48,19,4,no
29,24,19,94,73,45,21,4,no
30,25,20,94,66,40,14,3,no
29,24,19,88,67,42,14,3,no
29,23,18,94,67,40,13,3,no
30,24,18,94,69,37,14,2,yes
29,24,19,94,72,40,11,3,no
30,24,18,88,69,45,8,3,yes
29,23,18,94,68,42,14,2,yes
29,23,17,83,61,39,14,1,no
28,21,15,94,61,30,14,2,no
23,21,19,100,89,73,21,6,no
26,22,19,100,93,65,24,5,no
28,24,20,100,91,70,19,4,no
29,23,18,100,80,48,14,2,no
29,23,18,100,74,35,14,3,no
31,23,16,100,70,30,11,1,no
30,23,16,100,71,33,13,2,yes
29,24,20,100,92,51,19,5,no
27,23,20,100,87,58,16,5,no
28,24,21,100,84,51,13,3,yes
29,24,20,100,82,48,16,2,no
28,23,18,100,77,42,19,2,no
28,23,18,100,69,28,14,2,no
28,23,18,100,78,45,13,2,no
29,24,20,100,75,37,13,4,yes
29,24,21,100,88,55,23,4,no
29,24,20,100,87,51,19,4,no
29,24,20,100,77,40,21,3,no
28,23,19,100,84,51,24,2,no
27,22,17,100,76,45,26,2,no
27,22,18,100,69,39,19,1,no
26,22,18,100,76,47,16,1,yes
28,23,19,94,76,51,21,3,yes
28,22,17,100,67,30,16,1,yes
29,21,14,100,50,18,14,1,yes
29,22,15,94,53,20,16,1,yes
25,22,20,100,77,64,27,4,yes
29,24,20,100,85,51,26,4,yes
29,26,22,100,79,51,14,4,no
30,25,20,100,61,23,14,3,no
29,22,15,100,56,20,16,?,yes
28,21,14,100,72,42,14,2,yes
27,21,15,100,68,39,16,2,yes
28,22,17,100,69,32,11,3,yes
30,23,16,100,62,25,10,3,yes
30,23,16,100,65,31,11,2,no
28,22,16,100,76,42,19,2,yes
28,22,17,100,76,48,23,3,yes
28,22,17,100,78,45,27,2,no
29,24,19,100,73,42,14,2,no
29,22,16,100,68,35,16,2,no
29,22,16,100,69,40,21,2,no
30,24,19,100,73,37,14,4,no
29,24,20,100,72,42,13,3,yes
29,23,17,100,69,33,16,2,no
29,22,16,100,71,40,19,3,no
